"file_type","data_type","name"
"jaeger-container.log","log","jaeger-container"
"light-oauth2-mysqldb-1.log","log","light-oauth2-mysqldb-1"
"light-oauth2-node_exporter-1.log","log","light-oauth2-node_exporter-1"
"light-oauth2-oauth2-client-1.log","log","light-oauth2-oauth2-client-1"
"light-oauth2-oauth2-code-1.log","log","light-oauth2-oauth2-code-1"
"light-oauth2-oauth2-key-1.log","log","light-oauth2-oauth2-key-1"
"light-oauth2-oauth2-refresh-token-1.log","log","light-oauth2-oauth2-refresh-token-1"
"light-oauth2-oauth2-service-1.log","log","light-oauth2-oauth2-service-1"
"light-oauth2-oauth2-token-1.log","log","light-oauth2-oauth2-token-1"
"light-oauth2-oauth2-user-1.log","log","light-oauth2-oauth2-user-1"
"light-oauth2-prometheus-1.log","log","light-oauth2-prometheus-1"
"locust.log","log","locust"
"last_fetch_time.txt","other","locust"
"metric_go_gc_duration_seconds.json","metric","go_gc_duration_seconds"
"metric_go_gc_duration_seconds_count.json","metric","go_gc_duration_seconds_count"
"metric_go_gc_duration_seconds_sum.json","metric","go_gc_duration_seconds_sum"
"metric_go_goroutines.json","metric","go_goroutines"
"metric_go_info.json","metric","go_info"
"metric_go_memstats_alloc_bytes.json","metric","go_memstats_alloc_bytes"
"metric_go_memstats_alloc_bytes_total.json","metric","go_memstats_alloc_bytes_total"
"metric_go_memstats_buck_hash_sys_bytes.json","metric","go_memstats_buck_hash_sys_bytes"
"metric_go_memstats_frees_total.json","metric","go_memstats_frees_total"
"metric_go_memstats_gc_sys_bytes.json","metric","go_memstats_gc_sys_bytes"
"metric_go_memstats_heap_alloc_bytes.json","metric","go_memstats_heap_alloc_bytes"
"metric_go_memstats_heap_idle_bytes.json","metric","go_memstats_heap_idle_bytes"
"metric_go_memstats_heap_inuse_bytes.json","metric","go_memstats_heap_inuse_bytes"
"metric_go_memstats_heap_objects.json","metric","go_memstats_heap_objects"
"metric_go_memstats_heap_released_bytes.json","metric","go_memstats_heap_released_bytes"
"metric_go_memstats_heap_sys_bytes.json","metric","go_memstats_heap_sys_bytes"
"metric_go_memstats_last_gc_time_seconds.json","metric","go_memstats_last_gc_time_seconds"
"metric_go_memstats_lookups_total.json","metric","go_memstats_lookups_total"
"metric_go_memstats_mallocs_total.json","metric","go_memstats_mallocs_total"
"metric_go_memstats_mcache_inuse_bytes.json","metric","go_memstats_mcache_inuse_bytes"
"metric_go_memstats_mcache_sys_bytes.json","metric","go_memstats_mcache_sys_bytes"
"metric_go_memstats_mspan_inuse_bytes.json","metric","go_memstats_mspan_inuse_bytes"
"metric_go_memstats_mspan_sys_bytes.json","metric","go_memstats_mspan_sys_bytes"
"metric_go_memstats_next_gc_bytes.json","metric","go_memstats_next_gc_bytes"
"metric_go_memstats_other_sys_bytes.json","metric","go_memstats_other_sys_bytes"
"metric_go_memstats_stack_inuse_bytes.json","metric","go_memstats_stack_inuse_bytes"
"metric_go_memstats_stack_sys_bytes.json","metric","go_memstats_stack_sys_bytes"
"metric_go_memstats_sys_bytes.json","metric","go_memstats_sys_bytes"
"metric_go_threads.json","metric","go_threads"
"metric_net_conntrack_dialer_conn_attempted_total.json","metric","net_conntrack_dialer_conn_attempted_total"
"metric_net_conntrack_dialer_conn_closed_total.json","metric","net_conntrack_dialer_conn_closed_total"
"metric_net_conntrack_dialer_conn_established_total.json","metric","net_conntrack_dialer_conn_established_total"
"metric_net_conntrack_dialer_conn_failed_total.json","metric","net_conntrack_dialer_conn_failed_total"
"metric_net_conntrack_listener_conn_accepted_total.json","metric","net_conntrack_listener_conn_accepted_total"
"metric_net_conntrack_listener_conn_closed_total.json","metric","net_conntrack_listener_conn_closed_total"
"metric_node_arp_entries.json","metric","node_arp_entries"
"metric_node_boot_time_seconds.json","metric","node_boot_time_seconds"
"metric_node_context_switches_total.json","metric","node_context_switches_total"
"metric_node_cooling_device_cur_state.json","metric","node_cooling_device_cur_state"
"metric_node_cooling_device_max_state.json","metric","node_cooling_device_max_state"
"metric_node_cpu_guest_seconds_total.json","metric","node_cpu_guest_seconds_total"
"metric_node_cpu_seconds_total.json","metric","node_cpu_seconds_total"
"metric_node_disk_discard_time_seconds_total.json","metric","node_disk_discard_time_seconds_total"
"metric_node_disk_discarded_sectors_total.json","metric","node_disk_discarded_sectors_total"
"metric_node_disk_discards_completed_total.json","metric","node_disk_discards_completed_total"
"metric_node_disk_discards_merged_total.json","metric","node_disk_discards_merged_total"
"metric_node_disk_flush_requests_time_seconds_total.json","metric","node_disk_flush_requests_time_seconds_total"
"metric_node_disk_flush_requests_total.json","metric","node_disk_flush_requests_total"
"metric_node_disk_info.json","metric","node_disk_info"
"metric_node_disk_io_now.json","metric","node_disk_io_now"
"metric_node_disk_io_time_seconds_total.json","metric","node_disk_io_time_seconds_total"
